favorite_color,excitement,seat_comfort,ucsd_year,ucsd_major,credits,hr_physical,hr_online,hr_reading,sex
Green,Slightly excited,Meh,3,Engineering,18,0.5,0.5,1,F
green,Super stoked,Meh,3,Engineering,12,0,0.5,0,M
Blue,Slightly excited,Meh,2,Data Science,16,2,2,4,F
Blue,Very excited,Meh,3,Engineering,18,3,0,1,M
Blue,Slightly excited,Meh,2,Physical Sciences,16,0,2,10,F
Blue,Not at all excited,Meh,2,Engineering,16,0,2,10,M
Blue,Super stoked,Pretty good,4,Social Sciences,22,2,1,2,M
Blue,Not at all excited,Awful,3,Data Science,12,0,2,4,F
Blue,Super stoked,Pretty good,2,Engineering,16,1,3,3,M
Purple,Very excited,Pretty good,3,Physical Sciences,12,2,1,2,F
green,Very excited,Pretty good,1,Engineering,14,3,1,2,F
Blue,Very excited,Meh,3,Physical Sciences,20,0,0,6,F
Dark blue,Very excited,Pretty good,3,Engineering,18,2,2,2,M
lavender,Slightly excited,Meh,3,Engineering,20,1,0,3,F
Blue,Slightly excited,Bad,1,Data Science,20,1,1,8,F
Green,Very excited,Pretty good,3,Engineering,18,0,1,5,M
Blue,Slightly excited,Meh,3,Engineering,20,0,2,4,M
Green,Slightly excited,Meh,2,Engineering,18,0.5,1,1,M
purple,Very excited,Bad,4,Data Science,12,1,1,5,M
Black,Super stoked,Awful,2,Engineering,20,0,1.5,7,M
Black,Slightly excited,Bad,2,Engineering,14,1,2,6,M
Black,Very excited,Awful,3,Engineering,18,3,2,0,M
Blue,Very excited,Pretty good,3,Data Science,16,0.5,1,3,F
Red,Super stoked,Meh,3,Data Science,16,8,1,4,M
Blue,Slightly excited,Awful,4,Engineering,16,1,1,5,M
Orange,Slightly excited,Meh,3,Engineering,12,0,1,1,M
navy blue,Slightly excited,Meh,2,Engineering,14,0.5,2,4,M
Green,Slightly excited,Meh,3,Engineering,14,2,3,6,M
red,Slightly excited,Meh,3,Physical Sciences,12,0.25,3,1,M
Naples yellow,Slightly excited,Bad,2,Physical Sciences,20,0,0,2,F
Green,Slightly excited,Meh,2,Engineering,16,1,1,4,M
Blue,Slightly excited,Meh,3,Physical Sciences,20,2,1,15,M
Green,Slightly excited,Pretty good,3,Engineering,12,0,2.5,2,M
Blue,Very excited,Bad,2,Engineering,16,0,1.5,4,M
Red,Slightly excited,Meh,2,Engineering,16,1,1,1,M
Green,Slightly excited,Meh,3,Engineering,14,0.5,1,2,F
Blue,Super stoked,Meh,3,Physical Sciences,12,2,2,4,M
Blue,Very excited,Meh,2,Engineering,20,0,2,2,M
blue-green,Slightly excited,Pretty good,3,Engineering,20,2,1,4,M
Blue,Slightly excited,Bad,3,Engineering,14,0,16,20,M
Purple,Slightly excited,Meh,4,Engineering,12,1,0,6,M
Orange,Slightly excited,Meh,2,Physical Sciences,18,0,1,2,F
Pink,Slightly excited,Pretty good,1,Engineering,14,1,2,5,F
Green,Slightly excited,Bad,3,Data Science,16,0,2,3,M
Blue,Slightly excited,Pretty good,3,Engineering,12,3,2,3,M
Gold,Slightly excited,Meh,3,Physical Sciences,12,1,1,6,M
Orange,Slightly excited,Meh,1,Data Science,16,1,1,3,M
Purple,Slightly excited,Pretty good,3,Engineering,18,0,2,3,M
Red,Slightly excited,Meh,4,Biological Sciences,21,0,2,3,M
Orange,Very excited,Pretty good,2,Data Science,16,1,1,1,M
Grey,Slightly excited,Bad,2,Data Science,20,0,0.5,10,M
Pink,Slightly excited,Meh,2,Data Science,16,3,1,0.5,M
pink,Slightly excited,Pretty good,2,Engineering,24,0,1,7,F
Blue,Slightly excited,Pretty good,3,Engineering,16,1,2,2,M
Blue,Slightly excited,Meh,3,Engineering,18,0.5,0,2,M
pink,Very excited,Awful,3,Data Science,16,4,1,2,F
Teal,Super stoked,Pretty good,3,Physical Sciences,14,1,0,2,M
Yellow,Slightly excited,Meh,2,Data Science,20,0,2,1,F
Black,Super stoked,Meh,1,Data Science,14,0,2,1,M
yellow,Very excited,Bad,3,Engineering,18,0,0,15,M
Blue,Slightly excited,Bad,2,Data Science,16,0,0.5,1.5,F
Green,Slightly excited,Bad,3,Data Science,16,4,1,8,M
Red,Slightly excited,Meh,3,Engineering,12,0,3,5,M
Blue,Slightly excited,Meh,1,Engineering,22,2,0.5,2,F
silver,Slightly excited,Meh,2,Engineering,20,0,1.5,2.5,M
Black,Slightly excited,Meh,3,Engineering,12,0,2,2,M
Blue,Slightly excited,Bad,4,Engineering,8,3,1,1,M
violet,Very excited,Pretty good,3,Engineering,14,1,2,0.4,M
Orange,Slightly excited,Bad,3,Engineering,14,0,0.5,2,M
Orange,Slightly excited,Bad,3,Physical Sciences,16,1,0.5,4,M
Blue,Super stoked,Bad,>4,Data Science,8,0,0,5,M
Black,Super stoked,Meh,2,Data Science,20,0,2,4,M
Purple,Very excited,Bad,3,Data Science,14,2,1,4,F
Purple,Very excited,Meh,3,Engineering,16,1,2,5,M
